Site,Label
442,char_441_breast
443,char_442_breast
444,char_443_breast
445,char_444_breast
446,char_445_heart
447,char_446_heart
448,char_447_heart
449,char_448_heart
450,char_449_heart
451,char_450_heart
452,char_451_heart
453,char_452_heart
454,char_453_heart
455,char_454_heart
456,char_455_heart
457,char_456_liver
458,char_457_liver
459,char_458_liver
460,char_459_liver
461,char_460_liver
462,char_461_liver
463,char_462_liver
464,char_463_liver
465,char_464_liver
466,char_465_liver
467,char_466_liver
468,char_467_drink
469,char_468_drink
470,char_469_drink
471,char_470_drink
472,char_471_drink
473,char_472_drink
474,char_473_eat
475,char_474_eat
476,char_475_eat
477,char_476_eat
478,char_477_eat
479,char_478_eat
480,char_479_eat
481,char_480_eat
482,char_481_eat
483,char_482_eat
484,char_483_bite
485,char_484_bite
486,char_485_bite
487,char_486_bite
488,char_487_bite
489,char_488_bite
490,char_489_bite
491,char_490_bite
492,char_491_see
493,char_492_see
494,char_493_see
495,char_494_see
496,char_495_see
497,char_496_see
498,char_497_see
499,char_498_see
500,char_499_see
501,char_500_see
502,char_501_see
503,char_502_hear
504,char_503_hear
505,char_504_hear
506,char_505_hear
507,char_506_know
508,char_507_know
509,char_508_know
510,char_509_know
511,char_510_know
512,char_511_know
513,char_512_know
514,char_513_know
515,char_514_know
516,char_515_know
517,char_516_know
518,char_517_know
519,char_518_know
520,char_519_sleep
521,char_520_sleep
522,char_521_sleep
523,char_522_sleep
524,char_523_sleep
525,char_524_sleep
526,char_525_sleep
527,char_526_sleep
528,char_527_sleep
529,char_528_sleep
530,char_529_sleep
531,char_530_sleep
532,char_531_die
533,char_532_die
534,char_533_die
535,char_534_die
536,char_535_die
537,char_536_die
538,char_537_die
539,char_538_kill
540,char_539_kill
541,char_540_kill
542,char_541_kill
543,char_542_kill
544,char_543_kill
545,char_544_kill
546,char_545_kill
547,char_546_kill
548,char_547_kill
549,char_548_kill
550,char_549_kill
551,char_550_swim
552,char_551_swim
553,char_552_swim
554,char_553_swim
555,char_554_swim
556,char_555_swim
557,char_556_swim
558,char_557_swim
559,char_558_swim
560,char_559_swim
561,char_560_fly
562,char_561_fly
563,char_562_fly
564,char_563_fly
565,char_564_fly
566,char_565_fly
567,char_566_fly
568,char_567_fly
569,char_568_walk
570,char_569_walk
571,char_570_walk
572,char_571_walk
573,char_572_walk
574,char_573_walk
575,char_574_come
576,char_575_come
577,char_576_lie
578,char_577_lie
579,char_578_lie
580,char_579_lie
581,char_580_lie
582,char_581_lie
583,char_582_lie
584,char_583_lie
585,char_584_lie
586,char_585_lie
587,char_586_lie
588,char_587_lie
589,char_588_lie
590,char_589_lie
591,char_590_sit
592,char_591_sit
593,char_592_sit
594,char_593_sit
595,char_594_sit
596,char_595_sit
597,char_596_sit
598,char_597_sit
599,char_598_sit
600,char_599_sit
601,char_600_sit
602,char_601_stand
603,char_602_stand
604,char_603_stand
605,char_604_stand
606,char_605_stand
607,char_606_stand
608,char_607_stand
609,char_608_give
610,char_609_give
611,char_610_give
612,char_611_give
613,char_612_say
614,char_613_say
615,char_614_say
616,char_615_say
617,char_616_say
618,char_617_say
619,char_618_say
620,char_619_say
621,char_620_say
622,char_621_say
623,char_622_say
624,char_623_say
625,char_624_say
626,char_625_say
627,char_626_say
628,char_627_sun
629,char_628_sun
630,char_629_sun
631,char_630_sun
632,char_631_sun
633,char_632_sun
634,char_633_sun
635,char_634_moon
636,char_635_moon
637,char_636_moon
638,char_637_moon
639,char_638_moon
640,char_639_moon
641,char_640_moon
642,char_641_moon
643,char_642_star
644,char_643_star
645,char_644_star
646,char_645_star
647,char_646_star
648,char_647_star
649,char_648_star
650,char_649_water
651,char_650_water
652,char_651_water
653,char_652_water
654,char_653_water
655,char_654_water
656,char_655_water
657,char_656_water
658,char_657_rain
659,char_658_rain
660,char_659_rain
661,char_660_rain
662,char_661_rain
663,char_662_rain
664,char_663_rain
665,char_664_rain
666,char_665_stone
667,char_666_stone
668,char_667_stone
669,char_668_stone
670,char_669_stone
671,char_670_stone
672,char_671_stone
673,char_672_stone
674,char_673_sand
675,char_674_sand
676,char_675_sand
677,char_676_sand
678,char_677_sand
679,char_678_sand
680,char_679_sand
681,char_680_sand
682,char_681_earth
683,char_682_earth
684,char_683_earth
685,char_684_earth
686,char_685_earth
687,char_686_earth
688,char_687_earth
689,char_688_earth
690,char_689_earth
691,char_690_cloud
692,char_691_cloud
693,char_692_cloud
694,char_693_cloud
695,char_694_cloud
696,char_695_cloud
697,char_696_cloud
698,char_697_cloud
699,char_698_cloud
700,char_699_cloud
701,char_700_cloud
702,char_701_smoke
703,char_702_smoke
704,char_703_smoke
705,char_704_smoke
706,char_705_ashes
707,char_706_ashes
708,char_707_ashes
709,char_708_ashes
710,char_709_ashes
711,char_710_ashes
712,char_711_ashes
713,char_712_ashes
714,char_713_burn
715,char_714_burn
716,char_715_burn
717,char_716_burn
718,char_717_burn
719,char_718_burn
720,char_719_burn
721,char_720_burn
722,char_721_burn
723,char_722_burn
724,char_723_burn
725,char_724_burn
726,char_725_burn
727,char_726_road
728,char_727_road
729,char_728_road
730,char_729_road
731,char_730_road
732,char_731_road
733,char_732_road
734,char_733_road
735,char_734_road
736,char_735_road
737,char_736_road
738,char_737_road
739,char_738_mountain
740,char_739_mountain
741,char_740_mountain
742,char_741_mountain
743,char_742_mountain
744,char_743_mountain
745,char_744_mountain
746,char_745_mountain
747,char_746_mountain
748,char_747_mountain
749,char_748_mountain
750,char_749_mountain
751,char_750_mountain
752,char_751_mountain
753,char_752_red
754,char_753_red
755,char_754_red
756,char_755_red
757,char_756_red
758,char_757_red
759,char_758_green
760,char_759_green
761,char_760_green
762,char_761_green
763,char_762_green
764,char_763_green
765,char_764_green
766,char_765_green
767,char_766_green
768,char_767_yellow
769,char_768_yellow
770,char_769_yellow
771,char_770_yellow
772,char_771_yellow
773,char_772_yellow
774,char_773_yellow
775,char_774_yellow
776,char_775_yellow
777,char_776_yellow
778,char_777_yellow
779,char_778_yellow
780,char_779_white
781,char_780_white
782,char_781_white
783,char_782_white
784,char_783_white
785,char_784_white
786,char_785_white
787,char_786_white
788,char_787_white
789,char_788_black
790,char_789_black
791,char_790_black
792,char_791_black
793,char_792_black
794,char_793_black
795,char_794_black
796,char_795_black
797,char_796_night
798,char_797_night
799,char_798_night
800,char_799_night
801,char_800_night
802,char_801_night
803,char_802_night
804,char_803_night
805,char_804_night
806,char_805_night
807,char_806_night
808,char_807_night
809,char_808_warm
810,char_809_warm
811,char_810_warm
812,char_811_warm
813,char_812_warm
814,char_813_warm
815,char_814_warm
816,char_815_warm
817,char_816_warm
818,char_817_warm
819,char_818_cold
820,char_819_cold
821,char_820_cold
822,char_821_cold
823,char_822_cold
824,char_823_cold
825,char_824_cold
826,char_825_cold
827,char_826_cold
828,char_827_cold
829,char_828_full
830,char_829_full
831,char_830_full
832,char_831_full
833,char_832_full
834,char_833_full
835,char_834_full
836,char_835_full
837,char_836_full
838,char_837_new
839,char_838_new
840,char_839_new
841,char_840_new
842,char_841_new
843,char_842_new
844,char_843_good
845,char_844_good
846,char_845_good
847,char_846_good
848,char_847_good
849,char_848_good
850,char_849_good
851,char_850_good
852,char_851_good
853,char_852_good
854,char_853_good
855,char_854_good
856,char_855_good
857,char_856_round
858,char_857_round
859,char_858_round
860,char_859_round
861,char_860_round
862,char_861_round
863,char_862_round
864,char_863_round
865,char_864_dry
866,char_865_dry
867,char_866_dry
868,char_867_dry
869,char_868_dry
870,char_869_dry
871,char_870_dry
872,char_871_dry
873,char_872_dry
874,char_873_dry
875,char_874_name
876,char_875_name
877,char_876_name
