ID,Name,Nexus_File,rooted,type,method,scaling,Source
posterior-77,STATE_47760000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-78,STATE_91200000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-79,STATE_54335000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-80,STATE_49500000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-81,STATE_91305000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-82,STATE_88665000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-83,STATE_62830000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-84,STATE_32705000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-85,STATE_49925000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-86,STATE_61490000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-87,STATE_72480000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-88,STATE_63530000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-89,STATE_22160000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-90,STATE_92345000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-91,STATE_71745000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-92,STATE_23130000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-93,STATE_63915000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-94,STATE_83630000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-95,STATE_93010000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-96,STATE_98190000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-97,STATE_84255000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-98,STATE_76510000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-99,STATE_80120000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-100,STATE_27980000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-101,STATE_92165000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-102,STATE_98575000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-103,STATE_81930000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-104,STATE_20460000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-105,STATE_81275000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-106,STATE_22820000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-107,STATE_100000000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-108,STATE_50250000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-109,STATE_26820000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-110,STATE_35930000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-111,STATE_48510000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-112,STATE_56895000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-113,STATE_29800000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-114,STATE_60240000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-115,STATE_33815000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-116,STATE_26895000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-117,STATE_20025000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-118,STATE_25020000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-119,STATE_80030000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-120,STATE_19530000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-121,STATE_57995000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-122,STATE_75045000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-123,STATE_76170000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-124,STATE_47375000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-125,STATE_99665000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-126,STATE_45450000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-127,STATE_58620000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-128,STATE_98625000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-129,STATE_62060000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-130,STATE_38780000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-131,STATE_29120000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-132,STATE_28375000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-133,STATE_98245000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-134,STATE_88850000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-135,STATE_88275000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-136,STATE_67520000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-137,STATE_78170000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-138,STATE_62850000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-139,STATE_86435000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-140,STATE_55325000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-141,STATE_86210000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-142,STATE_37905000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-143,STATE_76580000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-144,STATE_51055000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-145,STATE_30040000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-146,STATE_87505000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-147,STATE_72695000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-148,STATE_56455000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-149,STATE_92475000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-150,STATE_39315000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-151,STATE_77420000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-152,STATE_82135000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-153,STATE_29900000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-154,STATE_80515000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-155,STATE_62995000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-156,STATE_95540000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-157,STATE_32330000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-158,STATE_78905000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-159,STATE_91715000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-160,STATE_34725000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-161,STATE_98235000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-162,STATE_23380000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-163,STATE_80665000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-164,STATE_58355000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-165,STATE_55375000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-166,STATE_99855000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-167,STATE_56915000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-168,STATE_54765000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-169,STATE_31815000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-170,STATE_34530000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-171,STATE_88580000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-172,STATE_55485000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-173,STATE_44240000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-174,STATE_17800000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-175,STATE_55015000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-176,STATE_24660000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-177,STATE_80700000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-178,STATE_63405000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-179,STATE_95140000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-180,STATE_42205000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-181,STATE_32480000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-182,STATE_48610000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-183,STATE_24305000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-184,STATE_35410000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-185,STATE_86750000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-186,STATE_21510000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-187,STATE_52770000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-188,STATE_27380000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-189,STATE_28240000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-190,STATE_33350000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-191,STATE_73290000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-192,STATE_55685000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-193,STATE_16755000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-194,STATE_35270000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-195,STATE_45465000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-196,STATE_80065000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-197,STATE_56445000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-198,STATE_54350000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-199,STATE_67430000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-200,STATE_71010000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-201,STATE_90885000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-202,STATE_58125000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-203,STATE_43810000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-204,STATE_61260000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-205,STATE_65065000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-206,STATE_54280000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-207,STATE_83855000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-208,STATE_93745000,posterior.trees,,sample,bayesian,years,Kolipakam2018
posterior-209,STATE_32490000,posterior.trees,,sample,bayesian,years,Kolipakam2018
