ID,Name,Description,Nexus_File
222,char_221_skin,,data.nex
223,char_222_skin,,data.nex
224,char_223_skin,,data.nex
225,char_224_skin,,data.nex
226,char_225_meat,,data.nex
227,char_226_meat,,data.nex
228,char_227_meat,,data.nex
229,char_228_meat,,data.nex
230,char_229_meat,,data.nex
231,char_230_meat,,data.nex
232,char_231_meat,,data.nex
233,char_232_meat,,data.nex
234,char_233_meat,,data.nex
235,char_234_meat,,data.nex
236,char_235_meat,,data.nex
237,char_236_meat,,data.nex
238,char_237_meat,,data.nex
239,char_238_meat,,data.nex
240,char_239_blood,,data.nex
241,char_240_blood,,data.nex
242,char_241_blood,,data.nex
243,char_242_blood,,data.nex
244,char_243_blood,,data.nex
245,char_244_blood,,data.nex
246,char_245_blood,,data.nex
247,char_246_bone,,data.nex
248,char_247_bone,,data.nex
249,char_248_bone,,data.nex
250,char_249_bone,,data.nex
251,char_250_bone,,data.nex
252,char_251_bone,,data.nex
253,char_252_bone,,data.nex
254,char_253_bone,,data.nex
255,char_254_fat,,data.nex
256,char_255_fat,,data.nex
257,char_256_fat,,data.nex
258,char_257_fat,,data.nex
259,char_258_fat,,data.nex
260,char_259_fat,,data.nex
261,char_260_fat,,data.nex
262,char_261_fat,,data.nex
263,char_262_fat,,data.nex
264,char_263_fire,,data.nex
265,char_264_fire,,data.nex
266,char_265_fire,,data.nex
267,char_266_fire,,data.nex
268,char_267_fire,,data.nex
269,char_268_fire,,data.nex
270,char_269_fire,,data.nex
271,char_270_fire,,data.nex
272,char_271_fire,,data.nex
273,char_272_fire,,data.nex
274,char_273_fire,,data.nex
275,char_274_fire,,data.nex
276,char_275_egg,,data.nex
277,char_276_egg,,data.nex
278,char_277_egg,,data.nex
279,char_278_egg,,data.nex
280,char_279_egg,,data.nex
281,char_280_egg,,data.nex
282,char_281_egg,,data.nex
283,char_282_egg,,data.nex
284,char_283_egg,,data.nex
285,char_284_egg,,data.nex
286,char_285_egg,,data.nex
287,char_286_egg,,data.nex
288,char_287_egg,,data.nex
289,char_288_horn,,data.nex
290,char_289_horn,,data.nex
291,char_290_horn,,data.nex
292,char_291_horn,,data.nex
293,char_292_horn,,data.nex
294,char_293_horn,,data.nex
295,char_294_tail,,data.nex
296,char_295_tail,,data.nex
297,char_296_tail,,data.nex
298,char_297_tail,,data.nex
299,char_298_tail,,data.nex
300,char_299_tail,,data.nex
301,char_300_tail,,data.nex
302,char_301_feather,,data.nex
303,char_302_feather,,data.nex
304,char_303_feather,,data.nex
305,char_304_feather,,data.nex
306,char_305_feather,,data.nex
307,char_306_feather,,data.nex
308,char_307_feather,,data.nex
309,char_308_feather,,data.nex
310,char_309_feather,,data.nex
311,char_310_feather,,data.nex
312,char_311_feather,,data.nex
313,char_312_feather,,data.nex
314,char_313_feather,,data.nex
315,char_314_fish,,data.nex
316,char_315_fish,,data.nex
317,char_316_fish,,data.nex
318,char_317_fish,,data.nex
319,char_318_fish,,data.nex
320,char_319_fish,,data.nex
321,char_320_fish,,data.nex
322,char_321_hair,,data.nex
323,char_322_hair,,data.nex
324,char_323_hair,,data.nex
325,char_324_hair,,data.nex
326,char_325_hair,,data.nex
327,char_326_hair,,data.nex
328,char_327_hair,,data.nex
329,char_328_hair,,data.nex
330,char_329_hair,,data.nex
331,char_330_hair,,data.nex
332,char_331_hair,,data.nex
333,char_332_hair,,data.nex
334,char_333_hair,,data.nex
335,char_334_hair,,data.nex
336,char_335_head,,data.nex
337,char_336_head,,data.nex
338,char_337_head,,data.nex
339,char_338_head,,data.nex
340,char_339_head,,data.nex
341,char_340_head,,data.nex
342,char_341_ear,,data.nex
343,char_342_ear,,data.nex
344,char_343_ear,,data.nex
345,char_344_ear,,data.nex
346,char_345_eye,,data.nex
347,char_346_eye,,data.nex
348,char_347_eye,,data.nex
349,char_348_eye,,data.nex
350,char_349_claw,,data.nex
351,char_350_claw,,data.nex
352,char_351_claw,,data.nex
353,char_352_claw,,data.nex
354,char_353_claw,,data.nex
355,char_354_claw,,data.nex
356,char_355_claw,,data.nex
357,char_356_nose,,data.nex
358,char_357_nose,,data.nex
359,char_358_nose,,data.nex
360,char_359_nose,,data.nex
361,char_360_nose,,data.nex
362,char_361_nose,,data.nex
363,char_362_mouth,,data.nex
364,char_363_mouth,,data.nex
365,char_364_mouth,,data.nex
366,char_365_mouth,,data.nex
367,char_366_mouth,,data.nex
368,char_367_mouth,,data.nex
369,char_368_mouth,,data.nex
370,char_369_mouth,,data.nex
371,char_370_mouth,,data.nex
372,char_371_tooth,,data.nex
373,char_372_tooth,,data.nex
374,char_373_tooth,,data.nex
375,char_374_tooth,,data.nex
376,char_375_tongue,,data.nex
377,char_376_tongue,,data.nex
378,char_377_tongue,,data.nex
379,char_378_tongue,,data.nex
380,char_379_tongue,,data.nex
381,char_380_foot,,data.nex
382,char_381_foot,,data.nex
383,char_382_foot,,data.nex
384,char_383_foot,,data.nex
385,char_384_foot,,data.nex
386,char_385_foot,,data.nex
387,char_386_foot,,data.nex
388,char_387_foot,,data.nex
389,char_388_foot,,data.nex
390,char_389_foot,,data.nex
391,char_390_knee,,data.nex
392,char_391_knee,,data.nex
393,char_392_knee,,data.nex
394,char_393_knee,,data.nex
395,char_394_knee,,data.nex
396,char_395_knee,,data.nex
397,char_396_knee,,data.nex
398,char_397_knee,,data.nex
399,char_398_knee,,data.nex
400,char_399_knee,,data.nex
401,char_400_hand,,data.nex
402,char_401_hand,,data.nex
403,char_402_hand,,data.nex
404,char_403_hand,,data.nex
405,char_404_belly,,data.nex
406,char_405_belly,,data.nex
407,char_406_belly,,data.nex
408,char_407_belly,,data.nex
409,char_408_belly,,data.nex
410,char_409_belly,,data.nex
411,char_410_belly,,data.nex
412,char_411_belly,,data.nex
413,char_412_belly,,data.nex
414,char_413_belly,,data.nex
415,char_414_belly,,data.nex
416,char_415_belly,,data.nex
417,char_416_neck,,data.nex
